Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,RelevantEducationLevel,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,JobType,SalaryExpectation,Ethnicity,Gender,HIRED
30,Travel_Rarely,Sales,4,College,Medical,Medium,Intermediate,Sales Executive,Divorced,1,Yes,Average,Average,Yes,11,High,11,8,full_time,Average,non-minority,Female,YES
32,Travel_Rarely,Sales,6,Master,Medical,High,Intermediate,Sales Executive,Single,1,No,High,Low,No,12,Low,11,8,full_time,Average,minority,Male,YES
24,Travel_Rarely,Sales,3,College,Other,High,Intermediate,Sales Executive,Married,0,No,High,Low,Yes,4,Medium,3,2,full_time,High,non-minority,Female,YES
28,Non-Travel,Sales,4,Bachelor,Medical,High,Intermediate,Sales Executive,Married,1,No,High,Average,No,5,High,5,4,full_time,Average,non-minority,Male,YES
34,Travel_Rarely,Research & Development,6,Master,Other,High,Intermediate,Research Scientist,Single,1,No,High,High,No,16,High,16,13,full_time,Average,minority,Female,YES
34,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,Low,Intermediate,Laboratory Technician,Single,1,Yes,High,Outstanding,No,9,High,9,7,full_time,High,minority,Male,YES
24,Travel_Rarely,Research & Development,18,Below College,Life Sciences,High,Entry Level,Laboratory Technician,Married,0,No,High,High,Yes,6,Medium,5,3,contract,Average,non-minority,Male,YES
37,Travel_Rarely,Sales,3,Bachelor,Life Sciences,High,Experienced,Sales Executive,Single,2,No,Outstanding,Low,No,12,High,5,3,full_time,Average,non-minority,Male,YES
33,Non-Travel,Sales,22,College,Marketing,High,Intermediate,Sales Executive,Married,0,No,Average,Low,Yes,8,Medium,7,7,full_time,Average,non-minority,Male,YES
56,Travel_Rarely,Research & Development,14,Master,Life Sciences,High,Entry Level,Research Scientist,Married,9,Yes,Average,Low,Yes,7,Medium,5,4,full_time,High,non-minority,Female,YES
31,Travel_Rarely,Sales,6,Master,Life Sciences,Low,Intermediate,Sales Executive,Married,4,Yes,High,Average,No,12,High,7,7,full_time,High,non-minority,Male,YES
26,Travel_Rarely,Research & Development,6,Bachelor,Other,Medium,Entry Level,Research Scientist,Married,1,No,Average,High,No,5,High,5,4,full_time,High,non-minority,Female,YES
39,Travel_Rarely,Sales,4,Master,Life Sciences,Medium,Intermediate,Sales Executive,Married,4,No,High,High,Yes,17,Low,15,11,full_time,Average,minority,Female,YES
25,Travel_Rarely,Sales,28,Bachelor,Life Sciences,Medium,Intermediate,Sales Executive,Married,2,No,High,Outstanding,No,6,High,2,2,full_time,High,non-minority,Male,YES
30,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,High,Intermediate,Human Resources,Married,0,Yes,Outstanding,Outstanding,No,12,Medium,11,9,full_time,High,non-minority,Male,YES
45,Travel_Rarely,Research & Development,29,Bachelor,Medical,High,Entry Level,Research Scientist,Single,5,No,Outstanding,Average,No,9,Medium,6,5,full_time,Average,minority,Male,YES
30,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Single,1,No,High,High,No,5,High,5,4,full_time,Average,non-minority,Female,YES
32,Travel_Frequently,Sales,9,College,Medical,Low,Intermediate,Sales Executive,Divorced,0,No,Outstanding,Outstanding,Yes,9,Medium,8,7,full_time,High,non-minority,Male,YES
35,Travel_Rarely,Sales,1,Doctorate,Marketing,High,Experienced,Sales Executive,Married,1,No,Average,Low,No,10,High,10,8,full_time,Average,non-minority,Male,YES
53,Travel_Rarely,Sales,6,College,Marketing,High,Intermediate,Sales Representative,Married,2,Yes,High,Outstanding,Yes,13,High,7,7,full_time,High,non-minority,Male,YES
45,Travel_Rarely,Research & Development,9,Bachelor,Life Sciences,High,Intermediate,Laboratory Technician,Divorced,8,No,Average,High,Yes,20,Medium,17,9,full_time,High,minority,Male,YES
27,Non-Travel,Research & Development,9,Bachelor,Medical,High,Entry Level,Research Scientist,Divorced,6,No,Average,Outstanding,Yes,6,Low,2,2,full_time,High,non-minority,Male,YES
57,Travel_Rarely,Research & Development,24,College,Life Sciences,Very High,Experienced,Healthcare Representative,Divorced,3,Yes,Outstanding,Average,Yes,12,Medium,5,3,full_time,Average,non-minority,Male,YES
50,Travel_Rarely,Research & Development,11,Bachelor,Life Sciences,High,Experienced,Manager,Single,3,No,Average,Average,No,21,Medium,5,4,full_time,Average,non-minority,Female,YES
41,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Divorced,4,No,High,Low,Yes,13,Medium,9,8,full_time,Average,non-minority,Male,YES
30,Travel_Rarely,Sales,5,Bachelor,Life Sciences,High,Experienced,Sales Executive,Married,2,No,Outstanding,High,Yes,12,Medium,10,9,full_time,Average,minority,Female,YES
32,Travel_Rarely,Research & Development,6,Doctorate,Life Sciences,High,Entry Level,Research Scientist,Single,3,No,High,Low,No,8,Medium,5,4,full_time,High,non-minority,Male,YES
27,Travel_Rarely,Research & Development,17,Bachelor,Technical Degree,High,Entry Level,Research Scientist,Married,0,Yes,Average,Outstanding,Yes,6,High,5,2,full_time,Average,non-minority,Male,YES
36,Travel_Frequently,Research & Development,3,College,Medical,High,Entry Level,Laboratory Technician,Single,4,No,Average,High,No,13,High,8,7,full_time,Average,minority,Male,YES
40,Travel_Rarely,Research & Development,4,Below College,Medical,High,Experienced,Manager,Married,1,No,High,Average,Yes,21,Medium,20,8,full_time,Average,non-minority,Female,YES
34,Travel_Frequently,Research & Development,2,Below College,Life Sciences,Medium,Intermediate,Manufacturing Director,Married,1,No,High,High,No,10,Medium,10,9,full_time,High,minority,Male,YES
51,Travel_Rarely,Research & Development,3,Bachelor,Medical,High,Experienced,Healthcare Representative,Single,3,No,Average,High,No,21,Medium,7,7,full_time,High,minority,Female,YES
27,Travel_Rarely,Research & Development,9,Bachelor,Medical,High,Entry Level,Research Scientist,Single,1,No,Average,Outstanding,No,7,Medium,7,7,contract,Average,non-minority,Female,YES
35,Travel_Rarely,Research & Development,23,College,Life Sciences,Medium,Intermediate,Manufacturing Director,Married,3,Yes,High,Low,No,8,Low,1,0,contract,Average,non-minority,Male,YES
35,Travel_Frequently,Research & Development,2,Bachelor,Medical,High,Intermediate,Laboratory Technician,Single,5,No,Average,Outstanding,No,10,Medium,6,2,contract,Low,non-minority,Female,YES
42,Non-Travel,Research & Development,21,College,Medical,High,Intermediate,Manufacturing Director,Divorced,2,No,High,Average,Yes,11,Medium,5,3,full_time,Average,non-minority,Female,YES
38,Travel_Rarely,Research & Development,29,Bachelor,Technical Degree,High,Intermediate,Manufacturing Director,Married,3,No,Outstanding,Low,Yes,9,High,7,7,full_time,High,minority,Male,YES
34,Travel_Frequently,Research & Development,10,Master,Medical,High,Entry Level,Research Scientist,Divorced,1,Yes,High,Outstanding,Yes,5,High,5,3,contract,High,non-minority,Male,YES
40,Travel_Rarely,Research & Development,19,College,Medical,High,Intermediate,Laboratory Technician,Married,8,Yes,Outstanding,High,Yes,15,Medium,7,2,contract,Average,non-minority,Male,YES
29,Travel_Rarely,Sales,27,Bachelor,Marketing,High,Experienced,Sales Executive,Married,1,No,Outstanding,Outstanding,Yes,10,High,10,4,contract,High,minority,Female,YES
22,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,Very High,Entry Level,Research Scientist,Divorced,1,Yes,Average,Low,Yes,4,Medium,4,2,full_time,Average,non-minority,Male,YES
32,Travel_Rarely,Sales,4,Master,Medical,Low,Experienced,Sales Executive,Married,1,No,Outstanding,High,No,14,Medium,14,8,full_time,Low,non-minority,Male,YES
30,Non-Travel,Research & Development,1,Below College,Life Sciences,Medium,Experienced,Manufacturing Director,Single,1,No,High,High,No,12,Medium,11,8,full_time,High,minority,Male,YES
27,Travel_Frequently,Sales,20,Bachelor,Life Sciences,High,Intermediate,Sales Executive,Single,1,No,High,Outstanding,No,7,Medium,7,7,full_time,Average,non-minority,Female,YES
51,Travel_Rarely,Research & Development,8,Master,Life Sciences,Medium,Experienced,Research Director,Married,5,No,Average,Outstanding,No,16,Medium,10,9,full_time,Average,non-minority,Male,YES
29,Travel_Rarely,Research & Development,1,Bachelor,Technical Degree,High,Entry Level,Research Scientist,Single,0,No,High,Outstanding,No,7,Low,6,2,full_time,Average,non-minority,Male,YES
45,Non-Travel,Sales,6,Bachelor,Medical,Medium,Experienced,Sales Executive,Single,6,No,Outstanding,Outstanding,No,23,Medium,19,7,full_time,Average,non-minority,Female,YES
36,Travel_Rarely,Research & Development,5,College,Life Sciences,High,Intermediate,Laboratory Technician,Single,8,No,Average,Outstanding,No,16,High,13,11,contract,Average,non-minority,Male,YES
31,Non-Travel,Research & Development,1,Master,Medical,Low,Intermediate,Manufacturing Director,Married,0,No,High,Outstanding,Yes,6,Medium,5,4,full_time,Average,non-minority,Male,YES
29,Travel_Frequently,Sales,1,Below College,Medical,High,Experienced,Sales Executive,Married,1,No,Outstanding,Outstanding,Yes,11,Medium,11,10,full_time,Average,non-minority,Female,YES
35,Travel_Frequently,Sales,1,Bachelor,Marketing,High,Experienced,Sales Executive,Single,1,No,High,Low,No,10,High,10,7,contract,Average,minority,Female,YES
50,Travel_Rarely,Sales,1,Master,Medical,High,Experienced,Manager,Divorced,3,No,Outstanding,High,Yes,32,High,7,0,full_time,Low,non-minority,Female,YES
33,Travel_Rarely,Research & Development,14,Bachelor,Medical,High,Entry Level,Laboratory Technician,Married,5,Yes,Outstanding,High,Yes,8,Medium,5,4,full_time,Average,non-minority,Male,YES
43,Travel_Rarely,Sales,16,Bachelor,Marketing,High,Experienced,Manager,Married,5,Yes,Outstanding,High,Yes,22,High,17,13,full_time,High,minority,Female,YES
32,Travel_Rarely,Sales,4,College,Life Sciences,High,Entry Level,Sales Representative,Married,2,No,Average,Low,Yes,6,Medium,4,3,full_time,Low,non-minority,Female,YES
39,Travel_Frequently,Research & Development,2,Master,Technical Degree,High,Experienced,Healthcare Representative,Single,0,No,High,Outstanding,No,20,Low,19,6,full_time,High,non-minority,Female,YES
29,Travel_Rarely,Research & Development,15,Bachelor,Life Sciences,High,Entry Level,Research Scientist,Single,1,No,Outstanding,Low,No,6,Low,6,5,full_time,High,non-minority,Male,YES
38,Non-Travel,Sales,2,College,Life Sciences,Medium,Intermediate,Sales Executive,Married,3,No,Outstanding,Outstanding,Yes,13,Low,8,7,full_time,High,non-minority,Male,YES
46,Travel_Rarely,Sales,2,Bachelor,Technical Degree,Low,Experienced,Manager,Married,3,Yes,Average,Average,Yes,28,Medium,7,7,full_time,Average,minority,Female,YES
36,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,High,Entry Level,Laboratory Technician,Married,0,No,Outstanding,High,Yes,16,High,15,13,full_time,Low,non-minority,Male,YES
37,Non-Travel,Research & Development,1,Master,Medical,High,Experienced,Research Director,Divorced,2,Yes,Outstanding,Low,No,15,Medium,5,2,full_time,High,non-minority,Female,YES
26,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,High,Intermediate,Manufacturing Director,Divorced,1,No,Average,Low,Yes,6,Medium,6,5,full_time,High,non-minority,Female,YES
50,Travel_Rarely,Research & Development,4,Below College,Life Sciences,High,Experienced,Research Director,Divorced,3,No,Average,Low,No,28,High,10,4,full_time,Average,non-minority,Male,YES
53,Travel_Rarely,Research & Development,3,Master,Medical,High,Experienced,Research Director,Married,3,Yes,High,Outstanding,Yes,21,Medium,5,3,full_time,Average,non-minority,Male,YES
42,Travel_Rarely,Sales,1,Below College,Life Sciences,High,Intermediate,Sales Executive,Married,1,No,High,High,No,20,High,20,16,contract,High,non-minority,Male,YES
29,Travel_Frequently,Sales,2,College,Life Sciences,High,Intermediate,Sales Executive,Single,1,No,Outstanding,Low,No,10,High,10,7,full_time,High,non-minority,Male,YES
55,Travel_Rarely,Research & Development,20,College,Technical Degree,High,Intermediate,Laboratory Technician,Married,3,Yes,Outstanding,Outstanding,Yes,12,High,10,7,full_time,High,minority,Male,YES
36,Travel_Rarely,Research & Development,3,Bachelor,Technical Degree,High,Intermediate,Research Scientist,Single,4,No,Average,Outstanding,No,10,Medium,8,0,full_time,Average,non-minority,Male,YES
42,Travel_Frequently,Sales,26,Bachelor,Marketing,High,Experienced,Sales Executive,Married,5,No,Average,Outstanding,Yes,23,Medium,20,4,full_time,Average,minority,Female,YES
35,Travel_Rarely,Sales,16,Bachelor,Marketing,High,Experienced,Sales Executive,Married,0,No,Average,High,No,12,High,11,9,full_time,Average,minority,Male,YES
51,Travel_Rarely,Research & Development,2,Bachelor,Medical,Low,Intermediate,Manufacturing Director,Divorced,5,No,Average,Outstanding,Yes,13,High,4,1,full_time,High,non-minority,Male,YES
31,Travel_Rarely,Sales,7,Bachelor,Technical Degree,Very High,Intermediate,Sales Executive,Married,4,No,Outstanding,Average,Yes,10,High,8,7,full_time,Low,non-minority,Male,YES
39,Travel_Rarely,Research & Development,1,Bachelor,Medical,Very High,Experienced,Healthcare Representative,Divorced,0,No,Outstanding,Low,Yes,19,Medium,18,10,full_time,High,non-minority,Male,YES
36,Non-Travel,Research & Development,24,Master,Life Sciences,High,Intermediate,Laboratory Technician,Married,7,No,Average,High,Yes,11,High,9,8,contract,Average,non-minority,Female,YES
32,Travel_Rarely,Sales,7,Bachelor,Life Sciences,Medium,Intermediate,Sales Executive,Married,1,No,High,High,Yes,13,High,13,8,contract,Average,non-minority,Male,YES
38,Travel_Rarely,Research & Development,25,College,Life Sciences,Medium,Experienced,Research Director,Married,3,No,Average,High,Yes,19,Medium,10,8,contract,High,minority,Female,YES
33,Travel_Frequently,Research & Development,5,Master,Life Sciences,High,Experienced,Manager,Married,6,No,Average,Average,No,12,Medium,10,6,full_time,Low,minority,Female,YES
43,Travel_Frequently,Research & Development,10,Master,Life Sciences,High,Entry Level,Laboratory Technician,Single,0,No,Outstanding,Low,No,9,Medium,8,7,full_time,High,non-minority,Female,YES
49,Travel_Rarely,Research & Development,1,College,Technical Degree,Medium,Experienced,Healthcare Representative,Single,7,Yes,High,Outstanding,No,25,Medium,7,1,contract,Average,non-minority,Female,YES
52,Travel_Rarely,Research & Development,8,Master,Medical,Medium,Intermediate,Research Scientist,Married,2,No,Average,Low,No,11,High,8,2,contract,Average,non-minority,Male,YES
31,Travel_Rarely,Sales,7,Bachelor,Marketing,High,Intermediate,Sales Executive,Divorced,4,No,Outstanding,Outstanding,Yes,13,High,7,7,full_time,Average,non-minority,Male,YES
32,Travel_Rarely,Research & Development,2,Master,Medical,Very High,Intermediate,Research Scientist,Single,7,No,Outstanding,High,No,10,Low,7,7,contract,Average,non-minority,Female,YES
30,Travel_Rarely,Research & Development,28,College,Medical,High,Intermediate,Research Scientist,Married,1,No,Outstanding,Outstanding,No,11,Medium,10,8,full_time,Average,non-minority,Female,YES
31,Travel_Frequently,Research & Development,7,College,Life Sciences,Medium,Experienced,Manufacturing Director,Married,1,No,High,Low,Yes,10,Medium,10,9,full_time,High,non-minority,Female,YES
39,Travel_Frequently,Research & Development,7,College,Medical,Medium,Experienced,Manager,Married,1,No,Outstanding,Low,Yes,21,Medium,21,9,full_time,Average,non-minority,Male,YES
27,Non-Travel,Sales,1,Below College,Marketing,High,Intermediate,Sales Executive,Married,0,Yes,Average,Outstanding,Yes,6,Low,5,4,full_time,Average,non-minority,Male,YES
45,Travel_Rarely,Research & Development,8,Master,Other,High,Intermediate,Research Scientist,Married,9,No,Outstanding,Low,No,12,High,10,9,full_time,Average,minority,Male,YES
37,Travel_Rarely,Research & Development,5,College,Medical,High,Intermediate,Manufacturing Director,Divorced,7,No,Outstanding,High,No,8,Medium,6,2,full_time,Average,non-minority,Male,YES
38,Travel_Rarely,Research & Development,15,College,Life Sciences,Medium,Experienced,Research Director,Divorced,0,Yes,Outstanding,Average,Yes,12,High,11,10,full_time,Average,minority,Male,YES
31,Travel_Rarely,Research & Development,7,Master,Medical,High,Experienced,Manufacturing Director,Single,1,Yes,Outstanding,High,No,11,Medium,11,9,contract,Average,minority,Female,YES
29,Travel_Rarely,Sales,10,Below College,Marketing,Medium,Intermediate,Sales Executive,Divorced,1,Yes,Average,Low,No,7,Medium,7,7,full_time,Average,non-minority,Female,YES
35,Travel_Rarely,Research & Development,5,Master,Technical Degree,High,Experienced,Manufacturing Director,Single,0,No,Average,Outstanding,No,17,Medium,16,6,contract,Average,non-minority,Male,YES
29,Non-Travel,Sales,2,Bachelor,Life Sciences,High,Intermediate,Sales Executive,Married,1,No,High,Low,Yes,4,High,4,3,full_time,Average,non-minority,Male,YES
32,Travel_Rarely,Research & Development,2,Bachelor,Medical,High,Entry Level,Laboratory Technician,Married,1,No,Average,High,Yes,8,High,8,0,full_time,Average,non-minority,Female,YES
26,Travel_Rarely,Sales,1,Bachelor,Life Sciences,High,Intermediate,Sales Executive,Married,1,No,High,Average,Yes,8,High,8,7,full_time,High,non-minority,Male,YES
36,Travel_Frequently,Sales,3,Master,Medical,Medium,Experienced,Sales Executive,Married,4,No,Outstanding,Low,Yes,16,Medium,13,9,contract,Low,minority,Male,YES
40,Travel_Rarely,Research & Development,10,Master,Life Sciences,Very High,Entry Level,Laboratory Technician,Married,3,Yes,High,High,Yes,10,High,7,7,full_time,Average,minority,Female,YES
33,Travel_Rarely,Sales,5,Bachelor,Marketing,High,Entry Level,Sales Representative,Single,1,Yes,High,Average,No,1,Medium,1,0,full_time,Average,non-minority,Female,YES
41,Travel_Frequently,Sales,4,Bachelor,Marketing,High,Intermediate,Sales Executive,Single,1,No,Average,High,No,8,Medium,8,7,contract,High,non-minority,Male,YES
40,Travel_Rarely,Sales,22,College,Marketing,Medium,Intermediate,Sales Executive,Married,2,Yes,High,Low,No,8,Medium,6,4,contract,Average,minority,Male,YES
27,Travel_Rarely,Research & Development,1,College,Medical,High,Entry Level,Laboratory Technician,Divorced,1,No,Average,Average,Yes,5,Medium,5,2,contract,Low,non-minority,Male,YES
49,Travel_Rarely,Research & Development,7,Bachelor,Other,Medium,Experienced,Healthcare Representative,Single,8,No,High,High,No,26,Medium,5,2,full_time,High,non-minority,Male,YES
51,Travel_Rarely,Sales,14,College,Life Sciences,High,Intermediate,Sales Executive,Married,4,No,Outstanding,High,Yes,18,Medium,7,7,full_time,Low,non-minority,Female,YES
55,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,High,Experienced,Manager,Single,2,Yes,Outstanding,High,No,30,Medium,5,4,contract,Average,non-minority,Female,YES
22,Travel_Rarely,Research & Development,11,Bachelor,Medical,High,Entry Level,Research Scientist,Married,1,No,Average,Outstanding,Yes,2,Low,2,1,full_time,Average,non-minority,Female,YES
36,Travel_Rarely,Sales,2,College,Medical,Medium,Experienced,Sales Executive,Married,1,No,High,Average,No,10,Medium,10,9,full_time,Average,non-minority,Male,YES
40,Travel_Rarely,Sales,2,College,Marketing,High,Intermediate,Sales Executive,Divorced,7,No,Average,High,No,8,Medium,5,4,full_time,Average,non-minority,Female,YES
37,Travel_Rarely,Research & Development,10,Master,Life Sciences,High,Intermediate,Manufacturing Director,Single,2,Yes,Average,Outstanding,No,18,Medium,1,0,full_time,Average,non-minority,Male,YES
31,Travel_Rarely,Research & Development,7,College,Medical,High,Intermediate,Manufacturing Director,Married,1,No,Low,Average,Yes,13,Medium,13,10,full_time,Average,minority,Female,YES
25,Travel_Rarely,Sales,4,College,Life Sciences,Medium,Intermediate,Sales Executive,Single,1,Yes,Outstanding,Average,No,5,High,5,4,contract,Low,non-minority,Female,YES
37,Non-Travel,Research & Development,25,Doctorate,Medical,High,Intermediate,Research Scientist,Married,3,Yes,High,Low,No,15,Medium,13,11,contract,Average,non-minority,Female,YES
52,Travel_Rarely,Research & Development,3,Bachelor,Medical,Medium,Experienced,Manufacturing Director,Married,2,Yes,High,High,No,28,High,5,4,full_time,Average,non-minority,Male,YES
52,Travel_Rarely,Research & Development,4,College,Life Sciences,High,Experienced,Manager,Married,2,No,Outstanding,Outstanding,No,31,Medium,5,2,full_time,Average,non-minority,Female,YES
42,Travel_Frequently,Research & Development,29,College,Life Sciences,High,Intermediate,Research Scientist,Divorced,2,No,High,Average,Yes,19,High,5,4,full_time,Low,non-minority,Female,YES
46,Travel_Rarely,Research & Development,18,Bachelor,Medical,High,Intermediate,Manufacturing Director,Divorced,2,No,High,High,Yes,19,Medium,10,7,full_time,Average,non-minority,Female,YES
24,Travel_Rarely,Sales,1,Below College,Technical Degree,High,Entry Level,Sales Representative,Single,1,Yes,Average,Average,No,6,High,5,3,full_time,Average,non-minority,Female,YES
40,Travel_Rarely,Sales,2,Master,Life Sciences,High,Experienced,Manager,Married,0,No,High,Outstanding,No,21,Medium,20,15,contract,Average,non-minority,Female,YES
30,Non-Travel,Research & Development,3,Bachelor,Life Sciences,High,Entry Level,Laboratory Technician,Married,4,No,Outstanding,High,Yes,9,High,5,3,full_time,Average,non-minority,Male,YES
29,Travel_Rarely,Research & Development,3,Master,Medical,Medium,Experienced,Research Director,Married,1,No,High,High,No,10,Medium,10,2,contract,High,non-minority,Male,YES
30,Non-Travel,Research & Development,2,Bachelor,Medical,High,Entry Level,Laboratory Technician,Single,0,No,Outstanding,High,No,12,Medium,11,7,contract,Average,non-minority,Female,YES
47,Travel_Rarely,Research & Development,2,College,Medical,High,Intermediate,Manufacturing Director,Divorced,5,No,Outstanding,High,Yes,20,Medium,5,0,full_time,Average,non-minority,Female,YES
35,Travel_Rarely,Research & Development,22,Bachelor,Life Sciences,Low,Entry Level,Laboratory Technician,Single,0,No,High,High,No,6,Medium,5,4,full_time,Average,non-minority,Male,YES
31,Travel_Rarely,Research & Development,9,Below College,Life Sciences,High,Experienced,Manufacturing Director,Divorced,1,No,Average,Outstanding,Yes,13,Medium,13,8,full_time,High,minority,Male,YES
34,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,High,Experienced,Human Resources,Divorced,9,Yes,Low,High,Yes,11,Medium,3,2,contract,Average,non-minority,Female,YES
41,Non-Travel,Sales,10,College,Life Sciences,High,Intermediate,Sales Executive,Single,7,No,Outstanding,Outstanding,No,16,High,14,3,full_time,Average,non-minority,Male,YES
35,Travel_Rarely,Sales,1,Bachelor,Marketing,High,Intermediate,Sales Executive,Married,9,No,High,High,No,15,Medium,11,9,contract,Low,non-minority,Male,YES
39,Travel_Frequently,Research & Development,8,Below College,Life Sciences,High,Entry Level,Laboratory Technician,Married,1,No,High,Low,Yes,8,High,8,3,full_time,Low,non-minority,Female,YES
26,Travel_Frequently,Human Resources,17,Master,Life Sciences,High,Entry Level,Human Resources,Divorced,0,Yes,High,Average,Yes,8,Medium,7,7,full_time,Low,non-minority,Female,YES
